Абонент	Телефон	Номер_дома	Счет
ГРИМУБОРНАЯ_2	98265184	16	17,97
ОТДЕЛ_АВИАЦИИ	75771753	1	22,98
В/Ч_49311	93340652	57	35,15
СВЕРКА_РАСЧЕТ_С_ОТДЕЛ_СВЯЗИ	96093341	28	61,11
СЛУЖЕБНЫЙ_(СЛУЖБА_СПАСЕНИЯ)	79314654	32	44,48
"ЗАО_""МАГАЗИН_N50"""	98541776	21	42,77
"ОФИС_ДК_""ТОРГОВЫЙ_ДОМ_""ГАЗ_УКРАИНЫ""_СФ"	6244131	2	73,67
ЗАВ_ОТД_ФУНКЦИОН_ЭКОСИСТЕМ	38756414	69	75,52
ЗАМ_НАЧАЛЬНИКА_ПОРТОФЛОТА	40038941	8	86,27
"ООО_ПКФ_""ШИП-МОТОРС-СЕРВИС"""	91752658	22	18,1
"ООО_МПФ_""АРМИДА"""	1326783	2	91,71
КОМЕРСАНТЫ_(ТОРГ_ДОМ_СВЕТЛАНА)	33398034	3	3,71
"МАГАЗИН_""ЗОЛОТАЯ_БАЛКА""_АГРОФИРМЫ_(МАГ_ОВ)"	13307360	16	2,57
ШТОЛЬНЯ	82572701	10	65,49
КОТЕЛЬНАЯ_КЧФ	81616780	96	86,77
ЗАМ_НАЧ_ПОРТА_ПО_СТРОИТЕЛЬСТВУ	10701865	47	28,3
НАУЧНО-ПРОСВЕТИТ_ОТДЕЛ	72552876	5	43,8
"ООО_""КРЫМПРОДСЕРВИС"""	70087386	38	65,59
НАЧ_РЕДАКЦИОННО-ИЗДАТ_ОТД	84624844	7	51,57
ЗАМ.ГЕНЕР._ДИР_ПО_ПРОИЗВОДСТВУ	12700766	8	49,78
СИТ_1_ЦОП_И_ПУ	11034124	22	45,1
СФ_УФИМБ	33946015	20	89,45
"ОАО_""СЕВАСТОПОЛЬСКИЙ_ХЛАДОКОМБИНАТ"""	72576227	3	59,11
"ООО_""ФАСК"""	35960226	61	27,36
МЕДИЦИНСКИЙ_ПОСТ	68636488	22	71,59
"О.О.О._ФИРМА_""МЕДСЕРВИС"""	28412230	42	6,67
ИСПОЛКОМ	70774257	49	44,18
КАФЕДРА_ВОЕН-МОРСКАЯ_ВОХР	29651427	47	50,81
К.168	56031478	3	65,98
ПРИЕМНЫЙ_ОТДЕЛ_НАЧ	43732766	52	35,57
"МЧП_""ПАНТИКАПЕЙ"""	50144277	10	69,78
"ЗАО_""ЧЕРНОМОРОЧКА""_ЗАО_(МАГ_ПРОМ)"	59066670	26	81,99
ФОНДОВОЕ_ХРАНИЛИЩЕ	94776953	43	29,91
ПОРТОФЛОТ_ЗАМ_НАЧ	59065918	6	98,51
"ФИРМА_""ДИАДА"""	80134351	53	67,32
СТ_ИНЖЕНЕР_ОМТС	46423342	1	2,44
"СКЛАД_ООО_""СТРИН"""	67850437	4	14,62
ОТД_ОРГАНИЗАЦИИ_МАРШРУТ_ДЕЖУРН	95914724	51	87,66
ИНСПЕКТОР_ОХРАНЫ_ТРУДА	92043977	11	14,63
ЖДУ_ЭЛЕКТРИКИ	68460353	64	76,71
"ПРИЧАЛ_N37_РЫБКОЛХОЗА_""ПУТЬ_ИЛЬИЧА"""	20129915	24	43,55
ДЕТСКАЯ_ХУДОЖЕСТВЕННАЯ_ШКОЛА	12010231	51	10,14
АУДИТОРИЯ_22	74932204	9	8,94
СПТУ-34	59728548	28	99,05
ЦТЭ_МТС_ЭТК-КС_ЦЕНТРАЛЬНЫЙ_СЕРВЕР_СЕТИ_АРМ-ОС	42064665	93	20,76
"С.П._""РАМУТ-СЕВАСТОПОЛЬ-ТУР"""	36933853	50	10,98
К.210_ОТД.ДОКУМ.ПРОВЕРОК_ЮР.Л.	96548485	73	69,79
"МАГАЗИН_ООО_""БОТ"""	43181488	28	59,1
"СПОРТБАЗА_ОАО_""ЮГРЕФТРАНСФЛОТ"""	65573885	78	22,63
МАГАЗИН_В/Ч_87069	69589745	11	1,39
ФИОЛЕНТОВСКОЕ_ШОССЕ_9_ТЕХОТДЕЛ	37290233	21	61,19
ПРОХОДНАЯ	55819303	5	74,75
ПРИЧАЛ_70_ДЕЖУРНЫЙ	18199137	83	88,53
ТЕХПЕРСОНАЛ_ИНЖЕНЕР	56587116	35	92,24
АТС_36_АВТОЗАЛ	54590282	10	97,68
К.7_ПРОФКОМ	42795798	437	75,64
ИНСПЕКТОР_ПО_ЖИЛЬЮ	29760077	68	55,27
ЮРИДИЧ,КАДРОВ_И_НАГРАД_ОТД_ЗАВ	73971755	26	70,3
ТРАКТОРНАЯ_БР_2	95242899	5	75,85
ДИСПЕТЧЕРСКАЯ_СЛУЖБА	51841126	4	64,89
"ДП_ПРОИЗВОД-КОММЕР._ФИРМА_""ИСТОК""_ОАО""СЕВАСТОПОЛЬСКИЙ_МАЯК"""	37697522	16	91,14
ОБЩИЙ_НА_ГЕЛОВАНИ	17941456	101	55,02
СТРОЙ.ОБЪЕКТ	12334178	32	40,76
ФИОЛЕНТОВСКОЕ_ШОССЕ_9_ЦЕХ_1	76341777	8	32,3
ГЛ_ИНЖЕНЕР	42729901	125	33,05
"ООО_""КРАУН"""	54430258	53	83,13
ИНСТИТУТ_ШТАБА_ВОЕННО-МОРСКИХ_СИЛ_УКРАИНЫ	97652724	133	45,62
ГОРНИЧНАЯ	89730584	23	27,79
"ООО_""АГЕНТСТВО_НЕДВИЖИМОСТИ"""	21370998	12	66,14
ГЛ_ИНЖЕНЕР_РЭС	78730675	29	79,49
"ЗАО_МАГАЗИН_""АВТОТУРИСТ"""	34859422	35	48,82
ДЕЖ_ПО_БОРЬБЕ_С_ОРГ_ПРЕСТ	61471361	144	84,14
"ЗАО_""ЖИЛИЩНАЯ_ИНИЦИАТИВА"""	35122074	58	7,58
НАЧ._ЮРИДИЧЕСКИЙ_ОТД	95872599	65	91,62
"ООО_""ЮЖНЫЙ_КРЕСТ"""	54234916	40	80,08
РЭП-5	11979723	40	66,05
"СП_""ТРАНС-ПРОГРЕСС""_ЛТД"	41114452	2	46,18
"ФИТНЕС_КЛУБ_""ЕЛЕНА""_ПКО_""АВАЗА-ПЛЮС"""	33023912	33	51,76
КОМ._20	67440967	224	80,61
"ОБЩЕЖИТИЕ_""ДОКЕР"""	50145688	59	82,99
ОПЕРАТОР_ПЕЙДЖИНГОВОЙ_СВЯЗИ	59215475	44	5,19
РЕМОНТНАЯ_ТЕЛЕМАСТЕРСКАЯ-РТМ_3	883682	54	7,82
НАЧАЛЬНИК_УВД	63851370	17	1,31
ЗАМ._ДИРЕКТОРА_ПО_СТРОИТ.	71520111	24	29,48
ТПС_9_Б_ОМЕГА	36967420	75	51,99
ГАРНИЗОННЫЙ_КБО	39424923	2	62,71
БУТАКОВА_6	95123300	1	39,21
БУХГАЛТЕРИЯ,_ПЛАНОВЫЙ_ОТДЕЛ	51473158	38	26,66
"ОФИС_ООО_ПФ_""ДАРГО"""	9395627	27	78,26
ОБЩЕЖИТИЕ_ВЫСШЕГО_ПРОФЕССИОНАЛЬНОГО_УЧИЛИЩА_3	15040234	25	18,11
"СУ-42_ЗАО_""СЕВАСТОПОЛЬСТРОЙ"""	7352854	22	17,86
НЕФРОЛОГИЧЕСКОЕ_ОТД.	31226336	24	0,69
БУХГАЛТЕР_ПО_ВАЛЮТНЫМ_ОПЕРАЦ	91582228	149	27,87
ПУНКТ_ПРИЕМА_ЗАЯВОК	99462791	44	36,62
ДИРЕКТОР_ДЕЖУРНЫЙ	6220763	113	31,81
ЧП_КИСЕЛЕВА_Т.Ю.	28934731	2	35,82
ПОДСТАНЦИЯ_2_ИНКЕРМАН	36328561	1	23
КВАРТИРНЫЙ_АБОНЕНТ_ПРИХОДЬКО_А.А.	67492042	9	80,67
УЧЕБН_ЦЕНТР_ПЛАВСОСТ_ПРЕПОДАВ	69227734	6	14,38
"ЧПСП_""ЭЛЕКАРД"""	14488332	53	32,7
УЧАСТОК_ИНДПОШИВА_ОБУВИ	43033409	60	70,85
ПЛАНОВО-ЭКОНОМ_ОТД_НАЧ	22976217	41	3,66
К.151	33638671	515	97,07
3-Е_ОТД._ПРИЕМНЫЙ_ПОКОЙ	84056499	5	44,42
ОТДЕЛ_ПО_РЕАЛИЗАЦИИ_ВОЕННОГО_ИМУЩЕСТВА_(ОРВИ_ЧФ)	21675400	48	40,74
ТЕРАПЕВТИЧ_ОТД_ОРДИНАТОРСКАЯ	66039416	10	59,54
АВТОЗАПРАВОЧНАЯ_СТАНЦИЯ_N_49	60420271	139	86,82
К.332А_ЗАМ_НАЧАЛЬНИКА	63388891	45	85,58
КАФЕДРА_СОЦИАЛЬНО-ЭКОНОМ_НАУК	36608414	34	1,66
"ДП_НПП_""МУССОН-ТЕХНО""_ОАО_""МУССОН"""	50191921	66	94,47
УВПМ_НАЧ	55451506	47	94,3
"ЗАО_""ЮНОСТЬ""_МАГАЗИН_N47"	93191318	11	25,92
ШТАБ_ГО_НАЧ_КОТОВСКОГО	82576492	28	72,9
ТУРГОСТИНИЦА_ИМ._А.В.МОКРОУСОВА	49439511	38	57,52
ДЕПАР_ЭКОНОМИКИ	90605018	42	3,41
КАБИНЕТ_ЭВМ	15370947	36	51,17
ОПТОВЫЙ_РЫНОК	82360652	20	5,87
ВЕНОЧНЫЙ_ЦЕХ_ЗАГОРОДНЯЯ_БАЛКА	54825253	27	46,2
"ООО_""3-ФОТО""_(ФОТОГРАФИЯ)"	86173004	11	43,14
"ПУНКТ_ПРОКАТА_5_АП_НЕПРОМЫШЛЕННЫХ_ВИДОВ_БЫТОВЫХ_УСЛУГ_""БЫТЭКСПРЕСС"""	93052325	34	39,05
"ГСК_""АХТИАР"""	71746928	70	51,63
ГЛ_ВРАЧ,_ГЛ_МЕДСЕСТРА	5185317	37	81,37
ХЛЕБОЗАВОД_1	65380009	49	91,99
КАФЕДРА_ВОЕН-МОРСК_НАЧАЛЬНИК	7728142	70	99,52
МАСТЕР_КАБЕЛЬНОГО_УЧАСТКА	90759688	40	97,04
"ООО_""ЮПИ_КРЫМ""_(МАГ_ПРОД)"	7788379	21	41,75
СТАТ_БЮРО	48162226	13	16,68
ТЕХНИК_1_К.24	21118854	34	35,3
СЕВ_ПОРТОВАЯ_САНЭПИДСТАНЦИЯ_НА_ВОДНОМ_ТРАНСПОРТЕ	52700918	37	96,82
ЗАМ.ДИРЕКТОРА	88307646	11	55,67
"МАГАЗИН_""ХУДОЖЕСТВЕННЫЙ_САЛОН"""	23214851	59	50,5
ДЕТСКОЕ_ОТД_СТАЦИОНАР	18078024	69	27,71
АПТЕКА	54753867	39	46,65
ЖИЛИЩ-КОММУН_ХОЗ-ВА_ОТД_ЗАВ	5940216	36	46,16
НАЧ.УПР.ПРЯМ.И_НЕПР.НАЛ.ЮР/Л	94362610	77	22,65
К.7	33055862	20	1,88
ОТДЕЛЕНИЕ_СВЯЗИ_14	10649951	16	74,59
4_ОТДЕЛЕНИЕ(МУЖСКОЕ)_ПСИХИАТР	24626236	78	52,49
ОЭС-129	99913294	68	16,19
"СУ-50_ЗАО_""СЕВСТРОЙ"""	21654586	26	32,28
ОБЩИЙ_ОТД_ЗАВ	96916815	17	11,63
4_МЕД_ОТДЕЛЕНИЕ_ОРДИНАТОРСКАЯ	86146093	13	54,52
МНОЖИТЕЛЬНЫЙ_УЧАСТОК	59224041	5	32,46
"О.О.О._""САМ"""	12111868	1	85,94
"ООО_ТРАНСПОРТНО-ПРОИЗВОДСТВЕННО_КОММЕРЧЕСКАЯ_ФИРМА_""МОРСКОЙ_КОЛОКОЛ"""	26450043	5	70,41
"МАГАЗИН_381_АП_""ОРЛИНОЕ""_(МАГ_ПРОД)"	55028974	145	22,29
НАЧ_ОТД_ДОХОДОВ_И_АНАЛИЗА_БЮДЖ	2065902	269	16,88
ГОСУДАРСТВЕННОЕ_УПРАВЛЕНИЕ_ВЕТЕРИНАРНОЙ_МЕДИЦИНЫ_И_ИНСПЕКЦИЯ	78770600	17	32,77
ПОСТ_ОХРАНЫ_ЦЕНТР.ВХОД	21038663	1	28,93
ЗАМ_НАЧ,НАЧ_ОБЩЕСТВ_БЕЗОПАСН	40948978	136	94,2
ФИЛИАЛ_9_ЦЕНТРАЛИЗОВАННОЙ_БИБЛИОТЕЧНОЙ_СИСТЕМЫ_ДЛЯ_ДЕТЕЙ_Г.СЕВАСТОПОЛЯ	95492304	50	14,88
НАЧАЛЬНИК_МТО	78534839	115	72,54
"ПЛЯЖ_""УЧКУЕВКА""_СПАСАТЕЛЬНАЯ_СТАНЦИЯ"	97222723	10	44,93
ВАКУЛЕНЧУКА_12	76769453	119	52,05
ГОРСОВЕТ	14232687	73	21,9
АРХИТЕКТ-СТРОИТЕЛЬНЫЕ_ГРУППЫ	11876376	37	37,33
65_СТОМАТ_П-КА_НАЧАЛЬНИК	80955166	26	48,89
СЛУЖБА_ДВИЖЕНИЯ_НАЧ	29043152	100	57,21
ЗАО_МАГАЗИН_301_(МАГ_ПРОД)	85540765	22	55,23
ЛЕНИНСКИЙ_ОТДЕЛ_ПЕНСИОННОГО_ФОНДА_УКРАИНЫ	75773664	2	87,16
"ЗАО_""ВИТЯЗЬ""_(КАФЕ)"	84083982	17	96,41
"ГАРАЖНЫЙ_КООПЕРАТИВ_""ТАВРИЧЕСКИЙ"""	8468931	1	18,33
"О.О.О._""ТАВРИДА-ЭЛЕКТРИК"""	92686660	46	41,18
НАХИМОВА_15_СЕКРЕТАРЬ	67732614	160	85,96
РАДИОУЗЕЛ_П_ОСИПЕНКО_ЭЛ_МОНТЕР	98067137	42	-0,42
ГО_СЕКРЕТНАЯ_ЧАСТЬ	23543537	22	24,41
ОТДЕЛ_ФЛОТА	56221166	127	94,6
ОБЩЕСТВО_ОХРАНЫ_ПАМЯТНИКОВ_И_КУЛЬТУРЫ	35067559	71	81,53
ЗАМ_ГЛ_ВРАЧА_ПО_ЭКОНОМИКЕ	5012714	4	34,9
